epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.54423,2.8228,0.10949,0.5292,2.72461,4.76e-05,4.76e-05,4.76e-05
2,9.47904,2.42002,0.40511,0.81387,2.1097,9.79808e-05,9.79808e-05,9.79808e-05
3,10.1306,1.88106,0.58394,0.94526,1.48665,0.000146288,0.000146288,0.000146288
4,10.8117,1.35292,0.67518,0.98175,1.08268,0.000192522,0.000192522,0.000192522
5,11.4509,1.04133,0.74453,0.9854,0.75651,0.000236682,0.000236682,0.000236682
6,12.1114,0.79444,0.77372,0.9854,0.61263,0.000278769,0.000278769,0.000278769
7,12.7905,0.64273,0.79197,0.98905,0.55127,0.000318783,0.000318783,0.000318783
8,13.4734,0.57058,0.78102,1,0.50024,0.000356723,0.000356723,0.000356723
9,14.1604,0.46413,0.83942,1,0.46379,0.00039259,0.00039259,0.00039259
10,14.83,0.45773,0.80292,1,0.36601,0.000391177,0.000391177,0.000391177
11,15.5349,0.43908,0.88321,1,0.34733,0.000381752,0.000381752,0.000381752
12,16.2123,0.31195,0.83942,1,0.44385,0.000372327,0.000372327,0.000372327
13,16.8674,0.38986,0.88321,1,0.27332,0.000362902,0.000362902,0.000362902
14,17.5927,0.30559,0.81752,1,0.44385,0.000353478,0.000353478,0.000353478
15,18.2488,0.30149,0.90146,1,0.33398,0.000344053,0.000344053,0.000344053
16,18.9111,0.2355,0.88686,1,0.3597,0.000334628,0.000334628,0.000334628
17,19.5829,0.29003,0.90876,1,0.23401,0.000325203,0.000325203,0.000325203
18,20.2488,0.24416,0.88321,1,0.35535,0.000315778,0.000315778,0.000315778
19,20.9381,0.28624,0.89781,1,0.31584,0.000306354,0.000306354,0.000306354
20,21.6392,0.18531,0.88686,1,0.2307,0.000296929,0.000296929,0.000296929
21,22.3088,0.17936,0.84672,1,0.50789,0.000287504,0.000287504,0.000287504
22,22.9767,0.18961,0.92701,1,0.21549,0.000278079,0.000278079,0.000278079
23,23.6427,0.17233,0.92336,1,0.21269,0.000268654,0.000268654,0.000268654
24,24.3237,0.17594,0.91606,1,0.24963,0.00025923,0.00025923,0.00025923
25,24.9946,0.13913,0.94161,1,0.20361,0.000249805,0.000249805,0.000249805
26,25.7183,0.12765,0.90876,1,0.2443,0.00024038,0.00024038,0.00024038
27,26.3541,0.14332,0.93796,1,0.19796,0.000230955,0.000230955,0.000230955
28,27.0403,0.1331,0.90146,0.99635,0.30196,0.00022153,0.00022153,0.00022153
29,27.6835,0.12465,0.93431,1,0.21383,0.000212106,0.000212106,0.000212106
30,28.3826,0.14435,0.93431,1,0.15676,0.000202681,0.000202681,0.000202681
31,29.0339,0.11748,0.93431,1,0.22811,0.000193256,0.000193256,0.000193256
32,29.7117,0.14299,0.92701,1,0.15432,0.000183831,0.000183831,0.000183831
33,30.3912,0.13182,0.93431,1,0.17489,0.000174406,0.000174406,0.000174406
34,31.0573,0.10527,0.92701,1,0.20833,0.000164982,0.000164982,0.000164982
35,31.7295,0.12703,0.92336,1,0.217,0.000155557,0.000155557,0.000155557
36,32.3722,0.08837,0.92701,1,0.1886,0.000146132,0.000146132,0.000146132
37,33.0436,0.09169,0.93431,1,0.19655,0.000136707,0.000136707,0.000136707
38,33.6605,0.09566,0.92336,1,0.16638,0.000127282,0.000127282,0.000127282
39,34.3771,0.09511,0.93066,1,0.14159,0.000117858,0.000117858,0.000117858
40,35.0546,0.10505,0.93431,1,0.14175,0.000108433,0.000108433,0.000108433
41,49.7756,0.07983,0.92701,1,0.24282,9.9008e-05,9.9008e-05,9.9008e-05
42,50.4366,0.10257,0.93066,1,0.31795,8.95832e-05,8.95832e-05,8.95832e-05
43,51.0942,0.06463,0.93796,1,0.15281,8.01584e-05,8.01584e-05,8.01584e-05
44,51.7317,0.0955,0.93431,1,0.20247,7.07336e-05,7.07336e-05,7.07336e-05
45,52.3817,0.07873,0.92701,1,0.1557,6.13088e-05,6.13088e-05,6.13088e-05
46,53.0322,0.08456,0.93796,1,0.14643,5.1884e-05,5.1884e-05,5.1884e-05
47,53.6716,0.07911,0.93066,1,0.24589,4.24592e-05,4.24592e-05,4.24592e-05
48,54.3299,0.10023,0.93796,1,0.13794,3.30344e-05,3.30344e-05,3.30344e-05
49,55.0041,0.06872,0.94526,1,0.13977,2.36096e-05,2.36096e-05,2.36096e-05
50,55.6578,0.0898,0.93796,1,0.21411,1.41848e-05,1.41848e-05,1.41848e-05
