epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.46335,1.38417,0.63866,1,1.01074,0.0001625,0.0001625,0.0001625
2,4.87525,0.77887,0.69748,1,0.58545,0.000330818,0.000330818,0.000330818
3,5.91525,0.47209,0.7479,1,0.5083,0.000492205,0.000492205,0.000492205
4,6.96826,0.34931,0.76471,1,0.49634,0.000646662,0.000646662,0.000646662
5,8.01732,0.30236,0.7563,1,0.58887,0.00079419,0.00079419,0.00079419
6,9.06906,0.28967,0.7563,1,0.59619,0.000934788,0.000934788,0.000934788
7,9.95661,0.29516,0.82353,1,0.49268,0.00106846,0.00106846,0.00106846
8,10.4892,0.27264,0.81513,1,0.46802,0.00107675,0.00107675,0.00107675
9,11.1827,0.2935,0.79832,1,0.48047,0.001052,0.001052,0.001052
10,11.7682,0.19758,0.7479,1,0.59082,0.00102725,0.00102725,0.00102725
11,12.3628,0.22577,0.62185,1,0.95605,0.0010025,0.0010025,0.0010025
12,12.9838,0.21574,0.87395,1,0.40967,0.00097775,0.00097775,0.00097775
13,13.6096,0.18149,0.78151,1,0.73389,0.000953,0.000953,0.000953
14,14.1848,0.18728,0.79832,1,0.49341,0.00092825,0.00092825,0.00092825
15,14.7897,0.19714,0.27731,1,6.44141,0.0009035,0.0009035,0.0009035
16,15.3506,0.15608,0.84034,1,0.40796,0.00087875,0.00087875,0.00087875
17,15.9036,0.11255,0.78151,1,0.81982,0.000854,0.000854,0.000854
18,16.4541,0.07981,0.89076,1,0.26709,0.00082925,0.00082925,0.00082925
19,17.0429,0.08717,0.78151,1,0.89697,0.0008045,0.0008045,0.0008045
20,17.6254,0.0778,0.84034,1,0.60645,0.00077975,0.00077975,0.00077975
21,18.1959,0.11719,0.87395,1,0.5791,0.000755,0.000755,0.000755
22,18.8188,0.12449,0.83193,1,0.49292,0.00073025,0.00073025,0.00073025
23,19.3698,0.0947,0.88235,1,0.39062,0.0007055,0.0007055,0.0007055
24,19.9257,0.12062,0.89916,1,0.32397,0.00068075,0.00068075,0.00068075
25,20.4639,0.10874,0.84874,1,0.34033,0.000656,0.000656,0.000656
26,21.013,0.11779,0.89076,1,0.2561,0.00063125,0.00063125,0.00063125
27,21.5825,0.09646,0.89076,1,0.32178,0.0006065,0.0006065,0.0006065
28,22.1236,0.08399,0.89916,1,0.30762,0.00058175,0.00058175,0.00058175
29,22.6755,0.07811,0.89076,1,0.28027,0.000557,0.000557,0.000557
30,23.2367,0.06696,0.62185,1,1.11523,0.00053225,0.00053225,0.00053225
31,23.7922,0.07506,0.89916,1,0.29785,0.0005075,0.0005075,0.0005075
32,24.3172,0.06055,0.88235,1,0.30518,0.00048275,0.00048275,0.00048275
33,24.895,0.06137,0.84874,1,0.50244,0.000458,0.000458,0.000458
34,25.6138,0.07138,0.88235,1,0.32495,0.00043325,0.00043325,0.00043325
35,26.6156,0.05664,0.89076,1,0.31958,0.0004085,0.0004085,0.0004085
36,27.6824,0.03559,0.89916,1,0.26416,0.00038375,0.00038375,0.00038375
37,28.7286,0.03636,0.87395,1,0.3125,0.000359,0.000359,0.000359
38,29.7517,0.03044,0.89916,1,0.302,0.00033425,0.00033425,0.00033425
39,30.8066,0.04105,0.88235,1,0.39893,0.0003095,0.0003095,0.0003095
40,31.8349,0.04546,0.87395,1,0.40039,0.00028475,0.00028475,0.00028475
41,51.3189,0.04109,0.87395,1,0.38013,0.00026,0.00026,0.00026
42,52.3364,0.04064,0.88235,1,0.32471,0.00023525,0.00023525,0.00023525
43,53.3831,0.05211,0.89076,1,0.40771,0.0002105,0.0002105,0.0002105
44,54.4323,0.0418,0.89916,1,0.42163,0.00018575,0.00018575,0.00018575
45,55.476,0.03498,0.91597,1,0.34692,0.000161,0.000161,0.000161
46,56.515,0.03406,0.90756,1,0.30908,0.00013625,0.00013625,0.00013625
47,57.5484,0.03158,0.89916,1,0.31958,0.0001115,0.0001115,0.0001115
48,58.584,0.02508,0.89076,1,0.32251,8.675e-05,8.675e-05,8.675e-05
49,59.6353,0.02441,0.88235,1,0.33691,6.2e-05,6.2e-05,6.2e-05
50,60.6851,0.03072,0.89916,1,0.33813,3.725e-05,3.725e-05,3.725e-05
