epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.9827,0.71047,0.96542,1,0.10824,0.000411932,0.000411932,0.000411932
2,16.6071,0.22358,0.96182,1,0.10798,0.000812192,0.000812192,0.000812192
3,23.1132,0.22026,0.95029,1,0.12615,0.00119595,0.00119595,0.00119595
4,29.7306,0.23424,0.93012,1,0.22518,0.00117575,0.00117575,0.00117575
5,36.3118,0.17533,0.98487,1,0.0409,0.001151,0.001151,0.001151
6,43.0749,0.14664,0.99496,1,0.028,0.00112625,0.00112625,0.00112625
7,47.857,0.13122,0.97695,1,0.06318,0.0011015,0.0011015,0.0011015
8,52.9133,0.12856,0.94164,1,0.13609,0.00107675,0.00107675,0.00107675
9,57.8955,0.11533,0.9755,1,0.07643,0.001052,0.001052,0.001052
10,62.6699,0.11374,0.99568,1,0.01139,0.00102725,0.00102725,0.00102725
11,67.583,0.09985,0.99063,1,0.02486,0.0010025,0.0010025,0.0010025
12,72.3848,0.10361,0.97695,1,0.05363,0.00097775,0.00097775,0.00097775
13,77.2223,0.09541,0.99712,1,0.01268,0.000953,0.000953,0.000953
14,82.6337,0.08617,0.99712,1,0.01139,0.00092825,0.00092825,0.00092825
15,88.0112,0.08689,0.98631,1,0.03916,0.0009035,0.0009035,0.0009035
16,93.5481,0.09076,0.93588,1,0.18718,0.00087875,0.00087875,0.00087875
17,99.012,0.07874,0.98775,1,0.03377,0.000854,0.000854,0.000854
18,104.204,0.07867,0.99063,1,0.03136,0.00082925,0.00082925,0.00082925
19,109.196,0.07703,0.99063,1,0.02481,0.0008045,0.0008045,0.0008045
20,114.297,0.06572,0.99712,1,0.01068,0.00077975,0.00077975,0.00077975
21,119.991,0.06027,0.9928,1,0.02018,0.000755,0.000755,0.000755
22,127.051,0.07738,0.99496,1,0.0108,0.00073025,0.00073025,0.00073025
23,134.135,0.07066,0.99424,1,0.01292,0.0007055,0.0007055,0.0007055
24,141.261,0.05704,0.9964,1,0.00724,0.00068075,0.00068075,0.00068075
25,146.828,0.06074,0.98199,1,0.05074,0.000656,0.000656,0.000656
26,152.043,0.05506,0.99712,1,0.00631,0.00063125,0.00063125,0.00063125
27,156.857,0.05215,0.98343,1,0.04368,0.0006065,0.0006065,0.0006065
28,162.785,0.05274,0.99928,1,0.00361,0.00058175,0.00058175,0.00058175
29,168.281,0.04703,0.99856,1,0.00542,0.000557,0.000557,0.000557
30,174.127,0.05271,1,1,0.00138,0.00053225,0.00053225,0.00053225
31,181.377,0.05064,1,1,0.00352,0.0005075,0.0005075,0.0005075
32,188.508,0.04415,0.99928,1,0.00241,0.00048275,0.00048275,0.00048275
33,195.394,0.04718,1,1,0.00158,0.000458,0.000458,0.000458
34,202.231,0.04066,1,1,0.00081,0.00043325,0.00043325,0.00043325
35,209.089,0.04046,1,1,0.00112,0.0004085,0.0004085,0.0004085
36,215.938,0.03686,1,1,0.00041,0.00038375,0.00038375,0.00038375
37,222.872,0.03607,1,1,0.00051,0.000359,0.000359,0.000359
38,229.723,0.0314,1,1,0.00066,0.00033425,0.00033425,0.00033425
39,236.593,0.03565,1,1,0.0006,0.0003095,0.0003095,0.0003095
40,243.402,0.03255,1,1,0.00061,0.00028475,0.00028475,0.00028475
41,264.45,0.02757,1,1,0.00044,0.00026,0.00026,0.00026
42,270.114,0.03292,1,1,0.00063,0.00023525,0.00023525,0.00023525
43,275.555,0.03174,1,1,0.00045,0.0002105,0.0002105,0.0002105
44,280.974,0.03104,1,1,0.00035,0.00018575,0.00018575,0.00018575
45,286.29,0.02326,1,1,0.00033,0.000161,0.000161,0.000161
46,291.425,0.02823,1,1,0.00048,0.00013625,0.00013625,0.00013625
47,296.599,0.02503,1,1,0.00033,0.0001115,0.0001115,0.0001115
48,301.798,0.02425,1,1,0.00016,8.675e-05,8.675e-05,8.675e-05
49,307.038,0.01909,1,1,0.00017,6.2e-05,6.2e-05,6.2e-05
50,313.129,0.02247,1,1,0.00014,3.725e-05,3.725e-05,3.725e-05
