epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9257,0.95071,3.98346,1.17201,0.06099,0.20033,0.09806,0.07558,0.76174,3.65055,1.00642,0.00012973,0.00012973,0.00012973
2,26.15,0.94816,2.72296,1.20562,0.79336,0.27856,0.48729,0.37802,0.80043,2.93821,1.06846,0.000257854,0.000257854,0.000257854
3,37.2106,0.92577,1.67981,1.18686,0.72185,0.52605,0.71013,0.52748,0.8613,1.97841,1.16731,0.000380699,0.000380699,0.000380699
4,48.2682,0.88821,1.32521,1.15716,0.69807,0.72399,0.73812,0.5446,0.90454,1.23627,1.18224,0.00037624,0.00037624,0.00037624
5,59.3305,0.8363,1.16647,1.11585,0.72028,0.79374,0.81982,0.62258,0.82767,1.08323,1.13551,0.00036832,0.00036832,0.00036832
6,70.3215,0.82819,1.06559,1.1047,0.80545,0.83357,0.85345,0.64458,0.86553,0.92867,1.13968,0.0003604,0.0003604,0.0003604
7,81.3995,0.81906,0.99573,1.10026,0.80516,0.83913,0.87111,0.67883,0.78477,0.92683,1.09104,0.00035248,0.00035248,0.00035248
8,92.6058,0.79275,0.93365,1.08214,0.82559,0.86887,0.90142,0.70796,0.78332,0.83669,1.09049,0.00034456,0.00034456,0.00034456
9,103.779,0.7716,0.88086,1.07262,0.81085,0.87181,0.89523,0.69752,0.76432,0.77896,1.07766,0.00033664,0.00033664,0.00033664
10,115.207,0.76613,0.84121,1.07112,0.81728,0.86541,0.88951,0.69258,0.77103,0.87857,1.06676,0.00032872,0.00032872,0.00032872
11,126.727,0.76019,0.80412,1.05808,0.87793,0.92809,0.93547,0.74973,0.7367,0.64639,1.04791,0.0003208,0.0003208,0.0003208
12,138.031,0.76361,0.78733,1.0652,0.85788,0.94073,0.93983,0.75839,0.71755,0.59272,1.03144,0.00031288,0.00031288,0.00031288
13,149.003,0.74457,0.74762,1.05244,0.90126,0.90479,0.95095,0.76664,0.70101,0.58362,1.03156,0.00030496,0.00030496,0.00030496
14,159.971,0.72822,0.70845,1.04631,0.91257,0.93063,0.95434,0.77527,0.70132,0.56951,1.02717,0.00029704,0.00029704,0.00029704
15,171.181,0.73389,0.7041,1.0513,0.91722,0.92794,0.95157,0.77625,0.68778,0.55537,1.00355,0.00028912,0.00028912,0.00028912
16,182.455,0.71644,0.66984,1.02957,0.9155,0.92401,0.95234,0.78012,0.68287,0.5565,1.01607,0.0002812,0.0002812,0.0002812
17,193.707,0.70268,0.65272,1.02884,0.89196,0.92774,0.95665,0.78264,0.68749,0.56793,1.02003,0.00027328,0.00027328,0.00027328
18,204.729,0.70216,0.63319,1.02843,0.89512,0.925,0.95475,0.78976,0.66542,0.55799,0.9958,0.00026536,0.00026536,0.00026536
19,215.791,0.69792,0.6253,1.02242,0.92297,0.92967,0.96487,0.79738,0.66509,0.51198,1.00133,0.00025744,0.00025744,0.00025744
20,226.851,0.69576,0.60844,1.02528,0.92095,0.94272,0.95988,0.79377,0.64696,0.48353,0.98811,0.00024952,0.00024952,0.00024952
21,237.908,0.69325,0.59811,1.02139,0.93898,0.95665,0.97078,0.7979,0.66514,0.47775,0.99319,0.0002416,0.0002416,0.0002416
22,249.094,0.68278,0.58506,1.0188,0.94698,0.95727,0.97167,0.80541,0.66783,0.45151,1.00554,0.00023368,0.00023368,0.00023368
23,260.245,0.68229,0.56936,1.018,0.94182,0.9552,0.97213,0.80304,0.65725,0.46787,0.99922,0.00022576,0.00022576,0.00022576
24,271.365,0.68571,0.55971,1.02037,0.95235,0.95251,0.97246,0.81592,0.64566,0.4399,0.98956,0.00021784,0.00021784,0.00021784
25,282.548,0.67363,0.54336,1.01072,0.91904,0.93291,0.96117,0.79997,0.65575,0.47546,0.98894,0.00020992,0.00020992,0.00020992
26,293.602,0.66357,0.5497,1.0074,0.91951,0.94844,0.96526,0.80943,0.64007,0.47082,0.98099,0.000202,0.000202,0.000202
